candidate_id,candidate_class,KG1_MECHANISM,KG2_DATA,KG3_EXECUTION,KG4_HALF_LIFE,KG5_FALSIFIABILITY,overall_status,status_ceiling,blocking_issue_ids
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,UNKNOWN,NOT_ALIVE,UNK-0009-ECON-CRYPTO-SPOT|UNK-0028|UNK-0034
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,UNKNOWN,NOT_ALIVE,UNK-0009-ECON-CRYPTO-SPOT|UNK-0028|UNK-0034
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,TUPLE,BLOCKED,FAIL,BLOCKED,FAIL,PASS,DEAD,DEAD,UNK-0010|UNK-0028|UNK-0034
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,UNKNOWN,NOT_ALIVE,UNK-0009-ECON-CRYPTO-SPOT|UNK-0010|UNK-0018-HYPERLIQUID|UNK-0028|UNK-0034
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,UNKNOWN,NOT_ALIVE,UNK-0009-ECON-CRYPTO-SPOT|UNK-0010|UNK-0018-HYPERLIQUID|UNK-0028|UNK-0034
TUP-EUREX-FESX-H2H3-OFIQ-MIX,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0011|UNK-0018-EUREX|UNK-0023-EXCH-OTHER|UNK-0023-LIT|UNK-0028
TUP-CBOE-USOPT-H5-SURFRV-MIX,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0012|UNK-0023-EXCH-OTHER|UNK-0027-OPTIONS-EVENT-FX|UNK-0028
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0013|UNK-0027-OPTIONS-EVENT-FX|UNK-0028|UNK-0034
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0014|UNK-0027-OPTIONS-EVENT-FX|UNK-0028|UNK-0034
TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0014|UNK-0027-OPTIONS-EVENT-FX|UNK-0028|UNK-0034
TUP-USSTOCK-XVENUE-H1-STALEQUOTE-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,WEAK,NOT_ALIVE,UNK-0005|UNK-0018-USSTOCK-CROSS|UNK-0028|UNK-0033
TUP-FX-ECN-H2H3-LEADLAG-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0015|UNK-0027-OPTIONS-EVENT-FX|UNK-0028
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0015|UNK-0027-OPTIONS-EVENT-FX|UNK-0028
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,TUPLE,BLOCKED,FAIL,BLOCKED,BLOCKED,BLOCKED,DEAD,DEAD,UNK-0004|UNK-0028
TUP-METHOD-PASSIVE-TOUCHFILL,METHOD_RULE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,FAIL,DEAD,DEAD,UNK-0028
TUP-GENERIC-CRYPTO-MICRO,UNIVERSE_DEFINITION,BLOCKED,BLOCKED,BLOCKED,BLOCKED,FAIL,DEAD,DEAD,UNK-0028
TUP-GENERIC-CME-QUEUE,UNIVERSE_DEFINITION,BLOCKED,BLOCKED,BLOCKED,BLOCKED,FAIL,DEAD,DEAD,UNK-0002|UNK-0028
TUP-SYSTEMONE-HARDCORE-ENGINE,GOVERNANCE,FAIL,BLOCKED,FAIL,BLOCKED,FAIL,DEAD,DEAD,UNK-0028
TUP-JEV-HOSTED-LATENCY-UNMEASURED,TECHNOLOGY_ADMISSION,FAIL,BLOCKED,FAIL,BLOCKED,FAIL,DEAD,DEAD,UNK-0028
